Entry,Reaction Name,Description,Pathway IDs
R10876,"dTDP-3-dimethylamino-3,4,6-trideoxy-alpha-D-glucopyranose:protomycinolide-IV 5-O-(3-dimethylamino-3,4,6-trideoxy-beta-D-glucosyl)transferase;",dTDP-D-desosamine + Protomycinolide IV <=> Mycinamicin VIII + dTDP,"Biosynthesis of 12-, 14- and 16-membered macrolides,Biosynthesis of secondary metabolites"
R10875,"mycinamicin-VIII,NADPH:oxygen oxidoreductase (21-hydroxylating)",Mycinamicin VIII + NADPH + Oxygen + H+ <=> Mycinamicin VII + NADP+ + H2O,"Biosynthesis of 12-, 14- and 16-membered macrolides,Biosynthesis of secondary metabolites"
R10874,dTDP-6-deoxy-alpha-D-allose:mycinamicin-VII 21-O-6-deoxy-beta-D-allosyltransferase,dTDP-6-deoxy-D-allose + Mycinamicin VII <=> Mycinamicin VI + dTDP,"Biosynthesis of 12-, 14- and 16-membered macrolides,Biosynthesis of secondary metabolites"
R09822,S-adenosyl-L-methionine:mycinamicin VI 2''-O-methyltransferase,Mycinamicin VI + S-Adenosyl-L-methionine <=> Mycinamicin III + S-Adenosyl-L-homocysteine,"Biosynthesis of 12-, 14- and 16-membered macrolides,Biosynthesis of secondary metabolites"
R09823,S-adenosyl-L-methionine:mycinamicin III 3''-O-methyltransferase,Mycinamicin III + S-Adenosyl-L-methionine <=> Mycinamicin IV + S-Adenosyl-L-homocysteine,"Biosynthesis of 12-, 14- and 16-membered macrolides,Biosynthesis of secondary metabolites"
R10877,"mycinamicin-IV,NADPH:oxygen oxidoreductase (14-hydroxylating)",Mycinamicin IV + NADPH + Oxygen + H+ <=> Mycinamicin V + NADP+ + H2O,"Biosynthesis of 12-, 14- and 16-membered macrolides,Biosynthesis of secondary metabolites"
R06715,S-adenosyl-L-methionine:4-demethylpremithramycinone O-methyltransferase,4-Demethylpremithramycinone + S-Adenosyl-L-methionine <=> Premithramycinone + S-Adenosyl-L-homocysteine,"Biosynthesis of type II polyketide products,Biosynthesis of secondary metabolites"
R06716,dTDP-D-olivose:premithramycinone D-olivosyltransferase,Premithramycinone + dTDP-D-olivose <=> Premithramycin A1 + dTDP,"Biosynthesis of type II polyketide products,Biosynthesis of secondary metabolites"
R06717,dTDP-D-oliose:premithramycin-A1 D-oliosyltransferase,Premithramycin A1 + dTDP-D-oliose <=> Premithramycin A2' + dTDP,"Biosynthesis of type II polyketide products,Biosynthesis of secondary metabolites"
R06719,S-adenosyl-L-methionine:premithramycin-A3' C-methyltransferase,Premithramycin A3' + S-Adenosyl-L-methionine <=> Premithramycin A3 + S-Adenosyl-L-homocysteine,"Biosynthesis of type II polyketide products,Biosynthesis of secondary metabolites"
R09351,dTDP-D-olivose:premithramycin-A3 D-olivosyltransferase,Premithramycin A3 + dTDP-D-olivose <=> 3A-Deolivosylpremithramycin B + dTDP,"Biosynthesis of type II polyketide products,Biosynthesis of secondary metabolites"
R09352,dTDP-D-olivose:3A-deolivosylpremithramycin-B D-olivosyltransferase,3A-Deolivosylpremithramycin B + dTDP-D-olivose <=> Premithramycin B + dTDP,"Biosynthesis of type II polyketide products,Biosynthesis of secondary metabolites"
R09353,"premithramycin-B,NADPH:oxygen oxidoreductase",Premithramycin B + NADPH + H+ + Oxygen <=> Mithramycin DK + NADP+ + CO2,"Biosynthesis of type II polyketide products,Biosynthesis of secondary metabolites"
R09354,,Mithramycin DK <=> Mithramycin,"Biosynthesis of type II polyketide products,Biosynthesis of secondary metabolites"
R00678,"L-tryptophan:oxygen 2,3-oxidoreductase (decyclizing)",L-Tryptophan + Oxygen <=> L-Formylkynurenine,"Tryptophan metabolism,Biosynthesis of cofactors"
R01959,N-formyl-L-kynurenine amidohydrolase,L-Formylkynurenine + H2O <=> Formate + L-Kynurenine,"Tryptophan metabolism,Glyoxylate and dicarboxylate metabolism,Biosynthesis of cofactors"
R01960,"L-kynurenine,NADPH:oxygen oxidoreductase (3-hydroxylating)",L-Kynurenine + Oxygen + NADPH + H+ <=> 3-Hydroxy-L-kynurenine + NADP+ + H2O,"Tryptophan metabolism,Biosynthesis of cofactors"
R02668,3-hydroxy-L-kynurenine hydrolase,3-Hydroxy-L-kynurenine + H2O <=> 3-Hydroxyanthranilate + L-Alanine,"Tryptophan metabolism,Biosynthesis of cofactors"
R02665,"3-hydroxyanthranilate:oxygen 3,4-oxidoreductase (decyclizing)",3-Hydroxyanthranilate + Oxygen <=> 2-Amino-3-carboxymuconate semialdehyde,"Tryptophan metabolism,Biosynthesis of cofactors"
R04323,2-amino-3-carboxymuconate semialdehyde carboxy-lyase,2-Amino-3-carboxymuconate semialdehyde <=> 2-Aminomuconate semialdehyde + CO2,Tryptophan metabolism
R03889,2-aminomuconate semialdehyde:NAD+ 6-oxidoreductase,2-Aminomuconate semialdehyde + NAD+ + H2O <=> 2-Aminomuconate + H+ + NADH,Tryptophan metabolism
R01715,chorismate pyruvatemutase,Chorismate <=> Prephenate,"Phenylalanine, tyrosine and tryptophan biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R01731,L-arogenate:2-oxoglutarate aminotransferase,Oxaloacetate + L-Arogenate <=> L-Aspartate + Prephenate,"Phenylalanine, tyrosine and tryptophan biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R00691,L-arogenate hydro-lyase (decarboxylating; L-phenylalanine-forming),L-Arogenate <=> L-Phenylalanine + H2O + CO2,"Phenylalanine, tyrosine and tryptophan biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R00428,"GTP 8,9-hydrolase",GTP + H2O <=> Formamidopyrimidine nucleoside triphosphate,Folate biosynthesis
R04286,"2-amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate lyase","7,8-Dihydroneopterin 3'-triphosphate <=> 6-Pyruvoyltetrahydropterin + Triphosphate","Folate biosynthesis,Biosynthesis of cofactors"
R09990,L-threo-tetrahydrobiopterin:NADP+ oxidoreductase,L-threo-Tetrahydrobiopterin + 2 NADP+ <=> 6-Pyruvoyltetrahydropterin + 2 NADPH + 2 H+,"Folate biosynthesis,Biosynthesis of cofactors"
R02056,S-adenosyl-L-methionine:phosphatidylethanolamine N-methyltransferase,S-Adenosyl-L-methionine + Phosphatidylethanolamine <=> S-Adenosyl-L-homocysteine + Phosphatidyl-N-methylethanolamine,"Glycerophospholipid metabolism,Biosynthesis of secondary metabolites"
R03424,S-adenosyl-L-methionine:phosphatidyl-N-methylethanolamine N-methyltransferase,S-Adenosyl-L-methionine + Phosphatidyl-N-methylethanolamine <=> S-Adenosyl-L-homocysteine + Phosphatidyl-N-dimethylethanolamine,"Glycerophospholipid metabolism,Biosynthesis of secondary metabolites"
R00918,propanoyl-CoA:(2S)-methylmalonyl-CoA malonyltransferase (cyclizing);,Propanoyl-CoA + 6 (S)-Methylmalonyl-CoA + 6 NADPH + 6 H+ <=> 6-Deoxyerythronolide B + 7 CoA + 6 CO2 + H2O + 6 NADP+,"Biosynthesis of 12-, 14- and 16-membered macrolides,Biosynthesis of secondary metabolites"
R05270,"6-deoxyerythronolide-B,reduced ferredoxin:oxygen oxidoreductase",6-Deoxyerythronolide B + 2 Reduced ferredoxin + 2 H+ + Oxygen <=> Erythronolide B + 2 Oxidized ferredoxin + H2O,"Biosynthesis of 12-, 14- and 16-membered macrolides,Biosynthesis of secondary metabolites"
R05530,dTDP-L-mycarose:erythronolide-B 3-O-alpha-mycarosyltransferase,Erythronolide B + dTDP-L-mycarose <=> 3-O-alpha-Mycarosylerythronolide B + dTDP,"Biosynthesis of 12-, 14- and 16-membered macrolides,Biosynthesis of secondary metabolites"
R05531,dTDP-D-desosamine:3-O-mycarosylerythronolide-B 5-O-beta-D-desosaminyltransferase,dTDP-D-desosamine + 3-O-alpha-Mycarosylerythronolide B <=> Erythromycin D + dTDP,"Biosynthesis of 12-, 14- and 16-membered macrolides,Biosynthesis of secondary metabolites"
R05522,"erythromycin-D,NADPH:oxygen oxidoreductase (12-hydroxylating)",Erythromycin D + NADPH + H+ + Oxygen <=> Erythromycin C + NADP+ + H2O,"Biosynthesis of 12-, 14- and 16-membered macrolides,Biosynthesis of secondary metabolites"
R05520,S-adenosyl-L-methionine:erythromycin-C 3''-O-methyltransferase,S-Adenosyl-L-methionine + Erythromycin C <=> S-Adenosyl-L-homocysteine + Erythromycin,"Biosynthesis of 12-, 14- and 16-membered macrolides,Biosynthesis of secondary metabolites"
R07399,,Acetyl-CoA + Pyruvate + H2O <=> (R)-2-Methylmalate + CoA,"Valine, leucine and isoleucine biosynthesis,C5-Branched dibasic acid metabolism,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids"
R03896,(R)-2-methylmalate hydro-lyase (2-methylmaleate-forming),(R)-2-Methylmalate <=> 2-Methylmaleate + H2O,"Valine, leucine and isoleucine biosynthesis,C5-Branched dibasic acid metabolism,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids"
R00994,"(2R,3S)-3-methylmalate:NAD+ oxidoreductase",2-Oxobutanoate + CO2 + NADH + H+ <=> D-erythro-3-Methylmalate + NAD+,"Valine, leucine and isoleucine biosynthesis,C5-Branched dibasic acid metabolism,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids"
R01092,ATP:alpha-D-galactose 1-phosphotransferase,ATP + alpha-D-Galactose <=> ADP + alpha-D-Galactose 1-phosphate,"Galactose metabolism,Amino sugar and nucleotide sugar metabolism,Biosynthesis of nucleotide sugars"
R00955,UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase,UDP-glucose + alpha-D-Galactose 1-phosphate <=> D-Glucose 1-phosphate + UDP-alpha-D-galactose,"Galactose metabolism,Amino sugar and nucleotide sugar metabolism,Biosynthesis of nucleotide sugars"
R11626,Ni-sirohydrochlorin nickel-lyase (sirohydrochlorin-forming),Sirohydrochlorin + Nickel(2+) <=> Nickel-sirohydrochlorin + 2 H+,"Porphyrin metabolism,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Biosynthesis of cofactors"
R11627,Ni-sirohydrochlorin:L-glutamine amido-ligase (ADP-forming),"Nickel-sirohydrochlorin + 2 ATP + 2 L-Glutamine + 2 H2O <=> Nickel-sirohydrochlorin a,c-diamide + 2 ADP + 2 L-Glutamate + 2 Orthophosphate","Porphyrin metabolism,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Biosynthesis of cofactors"
R11628,"Ni-sirohydrochlorin a,c-diamide reductive cyclo-ligase (ADP-forming)","ATP + Nickel-sirohydrochlorin a,c-diamide + 3 Reduced acceptor + H2O <=> ADP + Orthophosphate + 15,17(3)-Seco-F430-17(3)-acid + 3 Acceptor","Porphyrin metabolism,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Biosynthesis of cofactors"
R11629,"15,17(3)-seco-F430-17(3)-acid cyclo-ligase (ADP-forming)","15,17(3)-Seco-F430-17(3)-acid + ATP <=> Coenzyme F430 + ADP + Orthophosphate","Porphyrin metabolism,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Biosynthesis of cofactors"
R08956,(2S)-2-amino-4-deoxychorismate:L-glutamate aminotransferase,2-Amino-2-deoxyisochorismate + L-Glutamate <=> Chorismate + L-Glutamine,"Phenazine biosynthesis,Biosynthesis of enediyne antibiotics,Biosynthesis of secondary metabolites"
R09559,(2S)-2-amino-4-deoxychorismate:FMN oxidoreductase,2-Amino-2-deoxyisochorismate + FMN <=> 3-(1-Carboxyvinyloxy)anthranilate + Reduced FMN,"Biosynthesis of enediyne antibiotics,Biosynthesis of secondary metabolites"
R11362,,"3-(1-Carboxyvinyloxy)anthranilate <=> 3,4-Dihydro-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylate","Biosynthesis of enediyne antibiotics,Biosynthesis of secondary metabolites"
R11363,,"3,4-Dihydro-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylate <=> 3,4-Dihydro-7-hydroxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylate","Biosynthesis of enediyne antibiotics,Biosynthesis of secondary metabolites"
R11364,,"3,4-Dihydro-7-hydroxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylate <=> 3,4-Dihydro-7-methoxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylic acid","Biosynthesis of enediyne antibiotics,Biosynthesis of secondary metabolites"
R11365,,"3,4-Dihydro-7-methoxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylic acid <=> 3,4-Dihydro-7-methoxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carbonyl-CoA","Biosynthesis of enediyne antibiotics,Biosynthesis of secondary metabolites"
R05636,1-deoxy-D-xylulose-5-phosphate pyruvate-lyase (carboxylating),Pyruvate + D-Glyceraldehyde 3-phosphate <=> 1-Deoxy-D-xylulose 5-phosphate + CO2,"Thiamine metabolism,Terpenoid backbone biosynthesis,Biosynthesis of secondary metabolites"
R05688,1-deoxy-D-xylulose-5-phosphate isomeroreductase,2-C-Methyl-D-erythritol 4-phosphate + NADP+ <=> 1-Deoxy-D-xylulose 5-phosphate + NADPH + H+,"Terpenoid backbone biosynthesis,Biosynthesis of secondary metabolites"
R05633,CTP: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,2-C-Methyl-D-erythritol 4-phosphate + CTP <=> 4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol + Diphosphate,"Terpenoid backbone biosynthesis,Biosynthesis of secondary metabolites"
R05634,ATP:4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol 2-phosphotransferase,4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol + ATP <=> 2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol + ADP,"Terpenoid backbone biosynthesis,Biosynthesis of secondary metabolites"
R05637,2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol CMP-lyase (cyclizing),"2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol <=> 2-C-Methyl-D-erythritol 2,4-cyclodiphosphate + CMP","Terpenoid backbone biosynthesis,Biosynthesis of secondary metabolites"
R08689,(E)-4-hydroxy-3-methylbut-2-en-1-yl-diphosphate:oxidized ferredoxin oxidoreductase (hydrating),"2-C-Methyl-D-erythritol 2,4-cyclodiphosphate + 2 Reduced ferredoxin <=> 1-Hydroxy-2-methyl-2-butenyl 4-diphosphate + H2O + 2 Oxidized ferredoxin","Terpenoid backbone biosynthesis,Biosynthesis of secondary metabolites"
R05884,isopentenyl-diphosphate:ferredoxin oxidoreductase,1-Hydroxy-2-methyl-2-butenyl 4-diphosphate + 2 Reduced ferredoxin + 2 H+ <=> Isopentenyl diphosphate + 2 Oxidized ferredoxin + H2O,"Terpenoid backbone biosynthesis,Biosynthesis of secondary metabolites"
R01123,isopentenyl-diphosphate Delta3-Delta2-isomerase,Isopentenyl diphosphate <=> Dimethylallyl diphosphate,"Terpenoid backbone biosynthesis,Biosynthesis of secondary metabolites"
R03611,"calciol,NADPH-hemoprotein reductase:oxygen oxidoreductase (25-hydroxylating)",Calcidiol + [Oxidized NADPH---hemoprotein reductase] + H2O <=> Vitamin D3 + [Reduced NADPH---hemoprotein reductase] + Oxygen,"Steroid biosynthesis,Biosynthesis of secondary metabolites"
R03610,"calcidiol,adrenodoxin:oxygen oxidoreductase (1-hydroxylating)",Calcidiol + 2 Reduced adrenal ferredoxin + 2 H+ + Oxygen <=> Calcitriol + Oxidized adrenal ferredoxin + H2O,Steroid biosynthesis
R00551,L-arginine amidinohydrolase,L-Arginine + H2O <=> L-Ornithine + Urea,"Arginine biosynthesis,Arginine and proline metabolism,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R13308,L-arginine aminodihydrolase (L-ornithine-forming),L-Arginine + 2 H2O <=> L-Ornithine + CO2 + 2 Ammonia,"Arginine biosynthesis,Arginine and proline metabolism,Biosynthesis of secondary metabolites"
R00670,L-ornithine carboxy-lyase (putrescine-forming),L-Ornithine <=> Putrescine + CO2,"Arginine and proline metabolism,Glutathione metabolism,Biosynthesis of secondary metabolites"
R06746,L-proline:[peptidyl-carrier protein] ligase (AMP-forming),L-Proline + Peptidyl-carrier protein + ATP <=> L-Prolyl-[pcp] + AMP + Diphosphate,"Prodigiosin biosynthesis,Novobiocin biosynthesis,Biosynthesis of secondary metabolites"
R06747,L-prolyl-[peptidyl-carrier protein]:electron-transfer flavoprotein oxidoreductase,L-Prolyl-[pcp] + 2 Electron-transferring flavoprotein <=> Pyrrole-2-carbonyl-[pcp] + 2 Reduced electron-transferring flavoprotein,"Prodigiosin biosynthesis,Novobiocin biosynthesis,Biosynthesis of secondary metabolites"
R11665,,Pyrrole-2-carbonyl-[pcp] + Acyl-carrier protein <=> Pyrrolyl-2-carboxyl-S-[acyl-carrier protein] + Peptidyl-carrier protein,"Prodigiosin biosynthesis,Biosynthesis of secondary metabolites"
R11667,,"Pyrrolyl-2-carboxyl-S-[acyl-carrier protein] + Malonyl-CoA + L-Serine <=> 4-Hydroxy-2,2'-bipyrrole-5-methanol + CoA + Acyl-carrier protein + 2 CO2 + H2O","Prodigiosin biosynthesis,Biosynthesis of secondary metabolites"
R11668,"4-hydroxy-2,2'-bipyrrole-5-methanal:NADP+ oxidoreductase","4-Hydroxy-2,2'-bipyrrole-5-methanol + NADP+ <=> 4-Hydroxy-2,2'-bipyrrole-5-carbaldehyde + NADPH + H+","Prodigiosin biosynthesis,Biosynthesis of secondary metabolites"
R11670,"S-adenosyl-L-methionine:4-hydroxy-2,2'-bipyrrole-5-carbaldehyde 4-O-methyltransferase","4-Hydroxy-2,2'-bipyrrole-5-carbaldehyde + S-Adenosyl-L-methionine <=> 4-Methoxy-2,2'-bipyrrole-5-carbaldehyde + S-Adenosyl-L-homocysteine","Prodigiosin biosynthesis,Biosynthesis of secondary metabolites"
R04014,dodecanoyl-[acyl-carrier-protein] hydrolase,Dodecanoyl-[acyl-carrier protein] + H2O <=> Acyl-carrier protein + Dodecanoic acid,"Fatty acid biosynthesis,Prodigiosin biosynthesis,Biosynthesis of secondary metabolites"
R11664,,Dodecanoic acid + Malonyl-CoA + Glycine <=> 4-Keto-2-undecylpyrroline + 2 H2O + 2 CO2 + CoA,"Prodigiosin biosynthesis,Biosynthesis of secondary metabolites"
R11663,"4-keto-2-undecylpyrroline,NADPH: oxidoreductase",4-Keto-2-undecylpyrroline + NADPH + H+ <=> 2-Undecylpyrrole + NADP+ + H2O,"Prodigiosin biosynthesis,Biosynthesis of secondary metabolites"
R11673,,"4-Methoxy-2,2'-bipyrrole-5-carbaldehyde + 2-Undecylpyrrole + ATP <=> Undecylprodigiosin + ADP + Orthophosphate","Prodigiosin biosynthesis,Biosynthesis of secondary metabolites"
R11033,,L-Arginine <=> N(omega)-Hydroxyarginine,"Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites"
R10466,N(omega)-hydroxy-L-arginine amidinohydrolase,N(omega)-Hydroxyarginine + H2O <=> L-Ornithine + Hydroxyurea,"Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites"
R00586,acetyl-CoA:L-serine O-acetyltransferase,L-Serine + Acetyl-CoA <=> O-Acetyl-L-serine + CoA,"Cysteine and methionine metabolism,Sulfur metabolism,Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Carbon metabolism,Biosynthesis of amino acids"
R10461,O-acetyl-L-serine:hydroxyurea 2-amino-2-carboxyethyltransferase,O-Acetyl-L-serine + Hydroxyurea <=> O-Ureido-L-serine + Acetate,"Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites"
R10488,(2S)-2-amino-3-[(carbamoylamino)oxy]propanoate 2-epimerase,O-Ureido-L-serine <=> O-Ureido-D-serine,"Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites"
R10470,O-ureido-D-serine cyclo-ligase (D-cycloserine-forming),O-Ureido-D-serine + ATP + H2O <=> Cycloserine + CO2 + Ammonia + ADP + Orthophosphate,"Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites"
R12000,siroheme carboxy-lyase,"Siroheme <=> 12,18-Didecarboxysiroheme + 2 CO2","Porphyrin metabolism,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R12001,,"12,18-Didecarboxysiroheme <=> Fe-coproporphyrin III","Porphyrin metabolism,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R12002,Fe-coproporphyrin III:S-adenosyl-L-methionine oxidoreductase (decarboxylating),Fe-coproporphyrin III + 2 S-Adenosyl-L-methionine <=> Heme + 2 CO2 + 2 5'-Deoxyadenosine + 2 L-Methionine,"Porphyrin metabolism,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
